epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,38462,1.5755,1.16337,1.2008,0.80138,0.66952,0.74892,0.46648,1.42573,0.88949,1.17016,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,39070.3,1.57125,1.15021,1.19872,0.80625,0.67331,0.75123,0.46803,1.42418,0.88806,1.16948,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,39679.1,1.58091,1.1644,1.19691,0.81053,0.66976,0.75209,0.46897,1.42306,0.88681,1.16851,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,40282.5,1.57416,1.15531,1.19726,0.80812,0.66851,0.75104,0.46825,1.42273,0.88812,1.168,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,40888.3,1.57086,1.15699,1.19145,0.81021,0.66966,0.75202,0.4693,1.42119,0.88704,1.16673,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,41496,1.57018,1.14836,1.1905,0.80329,0.67375,0.75369,0.4702,1.42068,0.88458,1.16583,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,42099.2,1.56643,1.14962,1.19046,0.80991,0.66966,0.75474,0.4715,1.41801,0.88518,1.16434,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,42703.9,1.56295,1.14363,1.19008,0.8124,0.67254,0.75504,0.47173,1.41753,0.8827,1.16369,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,43312.1,1.56706,1.15065,1.18823,0.81533,0.67343,0.75733,0.47379,1.41583,0.88126,1.16277,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,43914.6,1.56514,1.14144,1.19388,0.80962,0.67995,0.75909,0.47549,1.41611,0.87576,1.16396,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,44519.3,1.56068,1.13551,1.19222,0.82286,0.67465,0.75887,0.47565,1.41562,0.87394,1.16362,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,45127.3,1.56157,1.14559,1.189,0.82306,0.67527,0.75997,0.47715,1.41389,0.87142,1.16234,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,45731.1,1.56522,1.13953,1.18943,0.82942,0.67128,0.7597,0.4778,1.41064,0.87157,1.16126,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,46335.9,1.55588,1.14098,1.18713,0.8255,0.67486,0.76195,0.48013,1.40909,0.86832,1.16088,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,46941.6,1.55537,1.13314,1.19231,0.8233,0.67698,0.76337,0.48115,1.40795,0.86678,1.16074,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
