epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,17180.6,1.37639,0.93625,0.00863,0.87598,0.79161,0.87124,0.52162,1.32699,0.68564,0.007,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179,0.0276537,0.0092179
81,17394.7,1.3941,0.96907,0.00872,0.876,0.79194,0.87127,0.5211,1.32728,0.68492,0.007,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
82,17608.8,1.39514,0.95215,0.0086,0.8718,0.79048,0.86787,0.51853,1.32968,0.68965,0.00702,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981,0.0275943,0.0091981
83,17823,1.40126,0.96724,0.00862,0.86713,0.79392,0.86811,0.5186,1.33004,0.68969,0.00702,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
84,18036.5,1.39354,0.95204,0.00847,0.8665,0.79334,0.86851,0.51847,1.32993,0.6906,0.00702,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783,0.0275349,0.0091783
85,18250.6,1.38415,0.96028,0.00864,0.86604,0.79122,0.86621,0.51716,1.33101,0.69403,0.00703,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
86,18464.8,1.38798,0.95035,0.00847,0.86554,0.78998,0.86411,0.51629,1.33243,0.69661,0.00704,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
87,18678.9,1.38408,0.9482,0.0086,0.86452,0.78623,0.86366,0.51557,1.3341,0.70168,0.00704,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
88,18892.6,1.39482,0.94578,0.00873,0.86177,0.78817,0.86442,0.51645,1.33288,0.70218,0.00703,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387,0.0274161,0.0091387
89,19106.2,1.38095,0.94932,0.00862,0.85851,0.79081,0.8617,0.5142,1.33465,0.69861,0.00704,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
