epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,10142.5,1.63546,1.17226,0.00806,0.82678,0.65943,0.74174,0.44845,1.41275,0.90147,0.00767,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
58,10320.5,1.61539,1.1635,0.00821,0.82489,0.66,0.74129,0.44873,1.41173,0.90277,0.00767,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357,0.0283071,0.0094357
59,10498.2,1.6543,1.17484,0.00822,0.81504,0.66436,0.74085,0.44893,1.41248,0.90167,0.00767,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
60,10675.6,1.59813,1.12763,0.0081,0.80624,0.6691,0.74058,0.44876,1.41268,0.90074,0.00768,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159,0.0282477,0.0094159
61,10853.4,1.64189,1.17468,0.0081,0.78693,0.67852,0.74053,0.44874,1.41263,0.902,0.00768,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
62,11031.1,1.65373,1.16133,0.00803,0.8086,0.6645,0.74031,0.44874,1.41283,0.9017,0.00769,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961,0.0281883,0.0093961
63,11208.5,1.63208,1.16109,0.00824,0.82648,0.65732,0.74061,0.44898,1.41221,0.90224,0.00768,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
64,11386.3,1.61113,1.14174,0.00813,0.82151,0.65781,0.73985,0.44895,1.41222,0.90246,0.00769,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763,0.0281289,0.0093763
65,11563.6,1.63307,1.15894,0.00799,0.81667,0.65991,0.73996,0.44866,1.41241,0.90421,0.00768,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
66,11741.6,1.61389,1.13894,0.00805,0.81785,0.65966,0.73958,0.44868,1.41147,0.90422,0.00768,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
67,11918.9,1.62128,1.14313,0.00805,0.81501,0.66079,0.73974,0.44917,1.41002,0.90584,0.00767,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
68,12096.7,1.62272,1.15859,0.00806,0.81859,0.66088,0.74003,0.44964,1.40984,0.90552,0.00767,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367,0.0280101,0.0093367
69,12273.8,1.63186,1.15537,0.00827,0.81802,0.66094,0.7399,0.44976,1.40879,0.90697,0.00767,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
70,12451.4,1.64942,1.16189,0.0081,0.81882,0.65995,0.73981,0.44961,1.40875,0.90582,0.00767,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169,0.0279507,0.0093169
71,12628.8,1.63092,1.14349,0.00814,0.81262,0.66063,0.73957,0.44973,1.40805,0.90618,0.00767,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
72,12806.3,1.60454,1.12559,0.00807,0.81757,0.65757,0.73927,0.44993,1.40773,0.90779,0.00767,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971,0.0278913,0.0092971
73,12983.1,1.63017,1.168,0.00811,0.81142,0.6582,0.73868,0.44971,1.40758,0.90782,0.00766,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
74,13160.2,1.63115,1.14463,0.00806,0.81866,0.65537,0.73927,0.44972,1.40704,0.90797,0.00766,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773,0.0278319,0.0092773
75,13337,1.62154,1.16152,0.00806,0.81164,0.65858,0.73872,0.44954,1.40663,0.90917,0.00767,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
76,13514,1.62817,1.14427,0.00811,0.81555,0.65846,0.7381,0.4496,1.40585,0.91067,0.00766,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
